samp,var,alg,val1,val2

b23,iden,umap,0.1,10
b23,iden,db,0.1,200
b23,epi,umap,0.1,10
b23,epi,db,0.1,160
b23,all,umap,0.1,10
b23,all,db,0.1,160

b3,iden,umap,0.1,10
b3,iden,db,0.2,70
b3,epi,umap,0.1,10
b3,epi,db,0.2,70
b3,all,umap,0.1,10
b3,all,db,0.2,70

b2,iden,umap,0.1,10
b2,iden,db,0.2,70
b2,epi,umap,0.1,10
b2,epi,db,0.2,70
b2,all,umap,0.1,10
b2,all,db,0.2,70

11,iden,umap,0.1,10
11,iden,db,0.11,70
11,epi,umap,0.1,10
11,epi,db,0.17,70
11,all,umap,0.1,10
11,all,db,0.11,90

8,iden,umap,0.1,10
8,iden,db,0.15,80
8,epi,umap,0.1,10
8,epi,db,0.2,70
8,all,umap,0.1,10
8,all,db,0.13,70

7,iden,umap,0.1,10
7,iden,db,0.14,80
7,epi,umap,0.1,10
7,epi,db,0.17,70
7,all,umap,0.1,10
7,all,db,0.13,90

4.1,iden,umap,0.1,10
4.1,iden,db,0.16,50
4.1,epi,umap,0.1,10
4.1,epi,db,0.16,75
4.1,all,umap,0.1,10
4.1,all,db,0.15,75

5,iden,umap,0.1,10
5,iden,db,0.14,70
5,epi,umap,0.1,10
5,epi,db,0.14,60
5,all,umap,0.1,10
5,all,db,0.12,70

4,iden,umap,0.1,10
4,iden,db,0.2,70
4,epi,umap,0.1,10
4,epi,db,0.18,70
4,all,umap,0.1,10
4,all,db, 0.16,50

2,iden,umap,0.1,10
2,iden,db,0.15,90
2,epi,umap,0.1,10
2,epi,db,0.2,60
2,all,umap,0.1,10
2,all,db,0.2,90

1,iden,umap,0.1,10
1,iden,db,0.2,40
1,epi,umap,0.1,10
1,epi,db,0.25,50
1,all,umap,0.1,10
1,all,db,0.25,65
